%time,field.data
1368140000000,cross-track error :-0.0913255214691
1368180000000,cross-track error :-0.0906824469566
1368240000000,cross-track error :-0.0898689627647
1368270000000,cross-track error :-0.0901095271111
1368310000000,cross-track error :-0.0896971821785
1368330000000,cross-track error :-0.0895555019379
1368350000000,cross-track error :-0.0899503827095
1368380000000,cross-track error :-0.0891413092613
1368430000000,cross-track error :-0.0905873775482
1368440000000,cross-track error :-0.088448882103
1368480000000,cross-track error :-0.0883434414864
1368520000000,cross-track error :-0.0880695581436
1368550000000,cross-track error :-0.0870099067688
1368580000000,cross-track error :-0.0871611237526
1368610000000,cross-track error :-0.0867273211479
1368630000000,cross-track error :-0.0869771242142
1368660000000,cross-track error :-0.0858224630356
1368700000000,cross-track error :-0.0862990617752
1368730000000,cross-track error :-0.0854432582855
1368760000000,cross-track error :-0.0848021507263
1368790000000,cross-track error :-0.0844950079918
1368850000000,cross-track error :-0.0840100646019
1368890000000,cross-track error :-0.0838211774826
1368920000000,cross-track error :-0.0836502313614
1368950000000,cross-track error :-0.0824492573738
1368980000000,cross-track error :-0.0827078819275
1369000000000,cross-track error :-0.0811557769775
1369030000000,cross-track error :-0.0813856124878
1369060000000,cross-track error :-0.0800878405571
1369130000000,cross-track error :-0.0802352428436
1369210000000,cross-track error :-0.0780094861984
1369240000000,cross-track error :-0.0761228203773
1369270000000,cross-track error :-0.0748605728149
1369300000000,cross-track error :-0.0742163658142
1369340000000,cross-track error :-0.0750325918198
1369360000000,cross-track error :-0.0752967000008
1369420000000,cross-track error :-0.0723890066147
1369450000000,cross-track error :-0.0709588527679
1369480000000,cross-track error :-0.0702157020569
1369500000000,cross-track error :-0.0690352916718
1369540000000,cross-track error :-0.0695838332176
1369570000000,cross-track error :-0.0671272277832
1369600000000,cross-track error :-0.0677253007889
1369640000000,cross-track error :-0.066436290741
1369690000000,cross-track error :-0.063870549202
1369730000000,cross-track error :-0.0623509287834
1369790000000,cross-track error :-0.06126922369
1369820000000,cross-track error :-0.0588535070419
1369850000000,cross-track error :-0.0582838058472
1369900000000,cross-track error :-0.0571432709694
1369940000000,cross-track error :-0.0546117424965
1369970000000,cross-track error :-0.052616417408
1369990000000,cross-track error :-0.0520164370537
1370010000000,cross-track error :-0.0514061450958
1370020000000,cross-track error :-0.0506963133812
1370050000000,cross-track error :-0.0504270792007
1370100000000,cross-track error :-0.0502765774727
1370120000000,cross-track error :-0.0465350151062
1370150000000,cross-track error :-0.0466139316559
1370190000000,cross-track error :-0.0453818440437
1370210000000,cross-track error :-0.0437824130058
1370260000000,cross-track error :-0.0418408513069
