%time,field.data
735480000000,cross-track error :0.0710301399231
735510000000,cross-track error :0.0722117424011
735540000000,cross-track error :0.0735070705414
735560000000,cross-track error :0.0747976303101
735580000000,cross-track error :0.074945807457
735610000000,cross-track error :0.0758099555969
735630000000,cross-track error :0.0775411128998
735660000000,cross-track error :0.0781561136246
735680000000,cross-track error :0.078985452652
735710000000,cross-track error :0.0800552368164
735730000000,cross-track error :0.0797724723816
735760000000,cross-track error :0.0802448987961
735770000000,cross-track error :0.081298828125
735790000000,cross-track error :0.0812915563583
735810000000,cross-track error :0.0805797576904
735830000000,cross-track error :0.0811778306961
735850000000,cross-track error :0.0813697576523
735890000000,cross-track error :0.0830322504044
735910000000,cross-track error :0.0827820301056
735930000000,cross-track error :0.08305311203
735960000000,cross-track error :0.0830097198486
735980000000,cross-track error :0.0824111700058
736010000000,cross-track error :0.0822205543518
736030000000,cross-track error :0.0828555822372
736060000000,cross-track error :0.0828107595444
736090000000,cross-track error :0.0817379951477
736110000000,cross-track error :0.0807018280029
736140000000,cross-track error :0.0812064409256
736160000000,cross-track error :0.0809419155121
736190000000,cross-track error :0.0796141624451
736220000000,cross-track error :0.0797326564789
736240000000,cross-track error :0.0783083438873
736260000000,cross-track error :0.0784562826157
736280000000,cross-track error :0.0777014493942
736310000000,cross-track error :0.0769560337067
736330000000,cross-track error :0.0762155056
736350000000,cross-track error :0.0743986368179
736380000000,cross-track error :0.0735869407654
736400000000,cross-track error :0.0738809108734
736430000000,cross-track error :0.0723959207535
736460000000,cross-track error :0.0715893507004
736490000000,cross-track error :0.0704947710037
736510000000,cross-track error :0.0690294504166
736530000000,cross-track error :0.0682202577591
736550000000,cross-track error :0.0675251483917
736580000000,cross-track error :0.0651322603226
736600000000,cross-track error :0.0649913549423
736620000000,cross-track error :0.0648025274277
736650000000,cross-track error :0.0631905794144
736670000000,cross-track error :0.0593214035034
736700000000,cross-track error :0.0605951547623
736730000000,cross-track error :0.0580602884293
736750000000,cross-track error :0.0572565793991
736780000000,cross-track error :0.0550359487534
736800000000,cross-track error :0.0522755384445
736820000000,cross-track error :0.0514010190964
736840000000,cross-track error :0.0504550933838
736870000000,cross-track error :0.0498074293137
736890000000,cross-track error :0.0468136072159
736920000000,cross-track error :0.0458182096481
736950000000,cross-track error :0.0435284376144
736970000000,cross-track error :0.0416380167007
736990000000,cross-track error :0.0408391952515
737020000000,cross-track error :0.0384991168976
737040000000,cross-track error :0.0360240936279
737070000000,cross-track error :0.035834312439
737100000000,cross-track error :0.032391667366
737120000000,cross-track error :0.0317318439484
737150000000,cross-track error :0.0298187732697
737170000000,cross-track error :0.0270813703537
737190000000,cross-track error :0.0257858037949
737210000000,cross-track error :0.0244642496109
737240000000,cross-track error :0.021777510643
737270000000,cross-track error :0.0204601287842
737300000000,cross-track error :0.0172400474548
737330000000,cross-track error :0.015994310379
737340000000,cross-track error :0.0136177539825
737370000000,cross-track error :0.0118873119354
737390000000,cross-track error :0.010517001152
737410000000,cross-track error :0.00892269611359
737440000000,cross-track error :0.00703656673431
737460000000,cross-track error :0.00569593906403
737480000000,cross-track error :0.00562703609467
737500000000,cross-track error :0.00541388988495
737520000000,cross-track error :0.00391507148743
737550000000,cross-track error :0.00106060504913
737580000000,cross-track error :-0.00066202878952
737600000000,cross-track error :-0.00274258852005
737620000000,cross-track error :-0.00417202711105
737630000000,cross-track error :-0.00589060783386
737650000000,cross-track error :-0.00761479139328
737690000000,cross-track error :-0.00952917337418
737710000000,cross-track error :-0.0108634233475
737730000000,cross-track error :-0.0122740864754
737760000000,cross-track error :-0.0149426460266
737790000000,cross-track error :-0.0176064372063
737810000000,cross-track error :-0.0197459459305
737830000000,cross-track error :-0.0201043486595
737860000000,cross-track error :-0.0229797959328
737910000000,cross-track error :-0.0255616307259
737930000000,cross-track error :-0.027251958847
737960000000,cross-track error :-0.0292575359344
737980000000,cross-track error :-0.0310543179512
738010000000,cross-track error :-0.0321223139763
738040000000,cross-track error :-0.0344525575638
738060000000,cross-track error :-0.0367698669434
738090000000,cross-track error :-0.0370243191719
738110000000,cross-track error :-0.0393065214157
